Geography,Transmission,Disease Type,Symptoms,Disease Name,ICD Code, Disease Group
South Asia,"waterborne, fecal-oral, poor sanitation",bacterial,"profuse diarrhea, dehydration, shock, vomiting, rapid heart rate, low blood pressure",Cholera,A00,Intestinal Infectious Diseases
Global/Developing Nations,"contaminated food, poor hygiene, fecal-oral",bacterial,"sustained high fever, headache, abdominal pain, rose spots, malaise, constipation",Typhoid Fever,A01,Intestinal Infectious Diseases
Americas,"contaminated food, poultry, pet reptiles",bacterial,"diarrhea, abdominal cramps, fever, vomiting, nausea, bloody stool",Other salmonella infections,A02,Intestinal Infectious Diseases
Sub-Saharan Africa,"fecal-oral, direct contact, waterborne",bacterial,"bloody diarrhea, abdominal cramps, fever, tenesmus, dehydration, vomiting",Shigellosis,A03,Intestinal Infectious Diseases
Global,"ingestion, contaminated food, poor cooking",bacterial,"diarrhea, cramping, nausea, vomiting, fever, abdominal tenderness",Other bacterial intestinal infections,A04,Intestinal Infectious Diseases
Global,"toxins, improper storage, raw foods",bacterial,"rapid onset, nausea, vomiting, abdominal pain, dizziness, weakness",Other bacterial food poisoning,A05,Intestinal Infectious Diseases
Indian Subcontinent,"contaminated water, fecal-oral, poor sanitation",parasitic,"bloody diarrhea, stomach pain, fever, fatigue, weight loss, liver abscess",Amoebiasis,A06,Intestinal Infectious Diseases
Americas/Europe,"waterborne, direct contact, host-to-host",parasitic,"watery diarrhea, bloating, gas, cramps, greasy stools, weight loss",Other protozoal intestinal diseases,A07,Intestinal Infectious Diseases
Global,"airborne droplets, fecal-oral, fomites",viral,"vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea, muscle aches",Viral and other specified intestinal infections,A08,Intestinal Infectious Diseases
Global,"fecal-oral, contact, contaminated food",viral,"diarrhea, vomiting, dehydration, abdominal discomfort, fever, loss of appetite","Infectious gastroenteritis and colitis, unspecified",A09,Intestinal Infectious Diseases
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis confirmed,A15,Tuberculosis
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis not confirmed,A16,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"severe headache, neck stiffness, confusion, vision changes, fever, seizures",Tuberculosis of nervous system,A17,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"local pain, fever, organ dysfunction, weight loss, fatigue, swollen glands",Tuberculosis of other organs,A18,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"high fever, chills, weakness, breathing issues, enlarged spleen, skin lesions",Miliary tuberculosis,A19,Tuberculosis
Central Asia,"flea bites, rodent contact, airborne",bacterial,"sudden fever, chills, headache, painful lymph nodes (buboes), weakness, coughing",Plague,A20,Certain Zootonic Bacterial Diseases
North America,"insect bites, handling animals, inhalation",bacterial,"fever, skin ulcer, swollen lymph nodes, headache, joint pain, nausea",Tularemia,A21,Certain Zootonic Bacterial Diseases
Global/Agricultural,"spores, contact with animals, contaminated products",bacterial,"skin sore, fever, chills, nausea, headache, difficulty breathing",Anthrax,A22,Certain Zootonic Bacterial Diseases
Mediterranean/Middle East,"unpasteurized dairy, animal contact, inhalation",bacterial,"undulating fever, joint pain, sweating, fatigue, back pain, loss of appetite",Brucellosis,A23,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, soil contact, inhalation",bacterial,"fever, muscle aches, chest pain, coughing, lung nodules, abscesses",Glanders and melioidosis,A24,Certain Zootonic Bacterial Diseases
Asia,"rat bite, rodent urine, contaminated food",bacterial,"fever, chills, vomiting, joint pain, rash, muscle aches",Rat-bite fever,A25,Certain Zootonic Bacterial Diseases
Global/Occupational,"handling infected meat, skin puncture, cuts",bacterial,"purple skin lesion, fever, joint pain, swollen lymph nodes, general illness, headache",Erysipeloid,A26,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, animal urine, skin contact",bacterial,"high fever, headache, muscle aches, jaundice, vomiting, red eyes",Leptospirosis,A27,Certain Zootonic Bacterial Diseases
Global,"animal contact, bites, environmental",bacterial,"fever, localized swelling, headache, general weakness, nausea, joint pain",Other zoonotic bacterial diseases,A28,Certain Zootonic Bacterial Diseases
South America,"airborne droplets, close contact, prolonged exposure",bacterial,"skin lesions, nerve damage, muscle weakness, sensory loss, eye problems, nosebleeds",Leprosy [Hansen's disease],A30,Other Bacterial Diseases
Global/Immunocompromised,"environmental, soil contact, aerosols",bacterial,"lung disease, swollen lymph nodes, skin ulcers, fever, weight loss, fatigue",Infection due to other mycobacteria,A31,Other Bacterial Diseases
Global,"contaminated food, raw dairy, soil",bacterial,"fever, muscle aches, diarrhea, stiff neck, confusion, convulsions",Listeriosis,A32,Other Bacterial Diseases
Developing Nations,"non-sterile delivery, umbilical cord infection",bacterial,"muscle spasms, difficulty feeding, irritability, lockjaw, arching of back, seizures",Tetanus neonatorum,A33,Other Bacterial Diseases
Developing Nations,"non-sterile birth, wound infection",bacterial,"muscle spasms, lockjaw, stiff neck, fever, irritability, sweating",Obstetrical tetanus,A34,Other Bacterial Diseases
Global/Unvaccinated,"deep puncture wound, soil contamination",bacterial,"muscle spasms, lockjaw, stiff neck, headache, fever, excessive sweating",Other tetanus,A35,Other Bacterial Diseases
Global/Unvaccinated,"airborne droplets, direct contact, fomites",bacterial,"sore throat, fever, swollen neck glands, difficulty breathing, bluish skin, nasal discharge",Diphtheria,A36,Other Bacterial Diseases
Global/Infants,"airborne droplets, direct contact, coughing",bacterial,"severe coughing fits, vomiting after cough, ""whoop"" sound, runny nose, fatigue, apnea",Whooping cough,A37,Other Bacterial Diseases
Global,"airborne droplets, direct contact, saliva",bacterial,"sore throat, high fever, bright red rash, strawberry tongue, headache, chills",Scarlet fever,A38,Other Bacterial Diseases
Sub-Saharan Africa,"airborne droplets, saliva, close contact",bacterial,"sudden fever, stiff neck, severe headache, photophobia, rash, confusion",Meningococcal infection,A39,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Streptococcal septicaemia,A40,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Other septicaemia,A41,Other Bacterial Diseases
Global,"normal flora, dental procedure, trauma",bacterial,"painful swelling, abscesses, draining sinus tracts, fever, weight loss, fatigue",Actinomycosis,A42,Other Bacterial Diseases
Global/Immunocompromised,"inhalation, soil contact, skin trauma",bacterial,"persistent cough, chest pain, fever, shortness of breath, skin lesions, weight loss",Nocardiosis,A43,Other Bacterial Diseases
South America,"sandfly bite, cat scratch, lice",bacterial,"fever, headache, fatigue, swollen glands, skin lesions, body aches",Bartonellosis,A44,Other Bacterial Diseases
Global,"skin break, open wound, direct contact",bacterial,"bright red skin rash, raised border, fever, chills, headache, general malaise",Erysipelas,A46,Other Bacterial Diseases
Global,"various, contact, inhalation",bacterial,"fever, localized symptoms, headache, fatigue, inflammation, body aches","Other bacterial diseases, not elsewhere classified",A48,Other Bacterial Diseases
Global,"various, unknown source",bacterial,"fever, inflammation, fatigue, chills, body aches, localized pain",Bacterial infection of unspecified site,A49,Other Bacterial Diseases
Global,"mother-to-child, vertical transmission",bacterial,"rash, runny nose, hepatosplenomegaly, bone deformities, anemia, jaundice",Congenital syphilis,A50,STDs
Global,"sexual contact, direct contact",bacterial,"painless chancre, rash, swollen lymph nodes, fever, sore throat, hair loss",Early syphilis,A51,STDs
Global,"sexual contact, direct contact",bacterial,"neurological damage, heart problems, gummas, blindness, dementia, paralysis",Late syphilis,A52,STDs
Global,"sexual contact, direct contact",bacterial,"varied, non-specific symptoms, fever, malaise, rash, headache, muscle pain",Other and unspecified syphilis,A53,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, fever, joint swelling, sore throat",Gonococcal infection,A54,STDs
"Africa, Asia, S America","sexual contact, direct contact",bacterial,"swollen lymph nodes, fever, joint pain, headache, rectal pain, genital ulcers",Chlamydial lymphogranuloma (venereum),A55,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, testicular pain, rectal pain, sore throat",Other sexually transmitted chlamydial diseases,A56,STDs
"Africa, Asia","sexual contact, direct contact",bacterial,"painful genital ulcer, swollen lymph nodes, fever, pus discharge, burning sensation, headache",Chancroid,A57,STDs
Developing Countries,"sexual contact, direct contact",bacterial,"progressive genital ulcers, bleeding, swelling, pain, lack of lymph node involvement",Granuloma inguinale,A58,STDs
Global,"sexual contact, direct contact, fomites",parasitic,"discharge, itching, painful urination, abdominal pain, foul odor, spotting",Trichomoniasis,A59,STDs
Global,"sexual contact, direct contact, skin-to-skin",viral,"painful blisters, ulcers, itching, flu-like symptoms, lymph node swelling, painful urination",Anogenital herpesviral infection,A60,STDs
Global,"sexual contact, direct contact",bacterial,"genital lesions, discharge, pain, itching, swelling, fever","Other predominantly sexually transmitted diseases, NEC",A63,STDs
Global,"sexual contact, unknown",viral,"discharge, pain, itching, rash, fever, malaise",Unspecified sexually transmitted disease,A64,STDs
"Africa, Middle East","non-sexual contact, oral contact, direct contact",bacterial,"skin lesions, bone damage, gummas, painless ulcers, nerve deafness, eye inflammation",Nonvenereal syphilis,A65,Other spirochaetal diseases
"Africa, Southeast Asia","skin contact, direct contact, non-sexual contact",bacterial,"painless skin nodules, bone pain, joint swelling, skin ulcers, fever, rash",Yaws,A66,Other spirochaetal diseases
Latin America,"skin contact, direct contact",bacterial,"initial skin lesion, white skin patches, hyperpigmentation, itching, rash, scaling",Pinta (carate),A67,Other spirochaetal diseases
"Africa, Asia","tick vector, louse vector, direct contact",bacterial,"recurring high fever, headache, muscle aches, nausea, rash, vomiting",Relapsing fevers,A68,Other spirochaetal diseases
Global,"tick bite, animal contact, direct contact",bacterial,"fever, rash, joint pain, headache, fatigue, neurological symptoms",Other spirochaetal infections,A69,Other spirochaetal diseases
Global/Birds,"avian aerosols, bird droppings, inhalation",bacterial,"fever, headache, dry cough, chest pain, muscle aches, chills",Infection due to Chlamydia psittaci,A70,Other diseases caused by clamydiae
"Africa, Middle East","eye discharge, direct contact, flies",bacterial,"painful eyes, inflammation, discharge, in-turned eyelashes, blurred vision, scarring",Trachoma,A71,Other diseases caused by clamydiae
Global,"various, contact, aerosols",bacterial,"fever, localized inflammation, headache, body aches, joint pain, fatigue",Other diseases caused by Chlamydiae,A74,Other diseases caused by clamydiae
Global/Poverty Areas,"louse vector, flea vector, body fluids",bacterial,"high fever, severe headache, rash, muscle aches, chills, confusion",Typhus fever,A75,Rickettsioses
Global/Americas,"tick vector, animal contact, insect bites",bacterial,"fever, headache, rash, muscle pain, nausea, vomiting",Spotted fever [rickettsioses],A77,Rickettsioses
Global/Livestock,"inhalation, contaminated milk, animal contact",bacterial,"high fever, severe headache, dry cough, chest pain, fatigue, night sweats",Q fever,A78,Rickettsioses
Global,"insect vector, animal contact",bacterial,"fever, rash, headache, muscle aches, malaise, chills",Other rickettsioses,A79,Rickettsioses
"Asia, Africa","fecal-oral, direct contact, waterborne",viral,"fever, fatigue, vomiting, stiff neck, muscle weakness, paralysis",Acute poliomyelitis,A80
Worldwide,"['autoimmune', 'post_infectious', 'idiopathic']",autoimmune,"['ascending_paralysis', 'areflexia', 'paresthesia', 'autonomic_dysfunction', 'respiratory_failure', 'back_pain']",Inflammatory polyneuropathy,G61
Worldwide,"['metabolic', 'environmental_toxin', 'vitamin_deficiency']",metabolic,"['distal_numbness', 'tingling', 'burning_pain', 'loss_of_vibration_sense', 'weakness', 'glove_and_stocking_distribution']",Other polyneuropathies,G62
Worldwide,"['secondary_disease', 'neoplastic', 'infectious']",infectious,"['skin_lesions', 'sensory_loss', 'motor_weakness', 'thickened_nerves', 'anhidrosis', 'trophic_ulcers']",Polyneuropathy in diseases classified elsewhere,G63
Worldwide,"['idiopathic', 'autoimmune', 'toxic']",idiopathic,"['sensory_disturbances', 'motor_weakness', 'autonomic_symptoms', 'chronic_pain', 'paresthesia', 'dysesthesia']",Other disorders of peripheral nervous system,G64
Worldwide,"['not_applicable', 'chronic_phase', 'post_inflammatory']",post_infectious,"['chronic_weakness', 'residual_numbness', 'gait_instability', 'chronic_pain', 'muscle_atrophy', 'contractures']",Sequelae of inflammatory polyneuropathy and other polyneuropathies,G65
Worldwide,"['autoimmune', 'genetic', 'idiopathic']",autoimmune,"['fluctuating_muscle_weakness', 'ptosis', 'diplopia', 'dysphagia', 'dysarthria', 'fatigability']",Myasthenia gravis and other myoneural disorders,G70
Worldwide,"['genetic', 'hereditary', 'degenerative']",genetic,"['progressive_muscle_weakness', 'gower_sign', 'calf_pseudohypertrophy', 'waddling_gait', 'scoliosis', 'cardiomyopathy']",Primary disorders of muscles,G71
Worldwide,"['drug_induced', 'endocrine', 'metabolic']",drug_induced,"['muscle_pain', 'muscle_weakness', 'elevated_ck', 'cramps', 'fatigue', 'rhabdomyolysis']",Other myopathies,G72
Worldwide,"['secondary_disease', 'neoplastic', 'endocrine']",neoplastic,"['proximal_weakness', 'autonomic_dysfunction', 'dry_mouth', 'absent_reflexes', 'post_exercise_facilitation', 'ptosis']",Disorders of myoneural junction and muscle in diseases classified elsewhere,G73
Worldwide,"['congenital', 'perinatal_injury', 'anoxia']",congenital,"['motor_delay', 'abnormal_muscle_tone', 'spasticity', 'ataxia', 'dystonia', 'seizures']",Cerebral palsy,G80
Worldwide,"['vascular', 'post_traumatic', 'neoplastic']",vascular,"['unilateral_paralysis', 'unilateral_weakness', 'spasticity', 'loss_of_sensation_one_side', 'aphasia', 'hemispatial_neglect']",Hemiplegia,G81
Worldwide,"['physical_trauma', 'vascular', 'infectious']",physical_trauma,"['paralysis_of_legs', 'paralysis_of_all_limbs', 'loss_of_sensation_below_lesion', 'bladder_dysfunction', 'bowel_dysfunction', 'spasticity']",Paraplegia and tetraplegia,G82
Worldwide,"['idiopathic', 'post_infectious', 'post_traumatic']",idiopathic,"['transient_weakness_post_seizure', 'monoplegia', 'diplegia', 'focal_paralysis', 'flaccid_paralysis', 'spastic_paralysis']",Other paralytic syndromes,G83
Worldwide,"['idiopathic', 'degenerative', 'secondary_disease']",idiopathic,"['orthostatic_intolerance', 'tachycardia_on_standing', 'dizziness', 'syncope', 'fatigue', 'brain_fog']",Disorders of autonomic nervous system,G90
Worldwide,"['congenital', 'post_infectious', 'post_hemorrhagic']",congenital,"['headache', 'nausea', 'vomiting', 'papilledema', 'gait_disturbance', 'cognitive_decline']",Hydrocephalus,G91
Worldwide,"['environmental_toxin', 'drug_induced', 'metabolic']",environmental_toxin,"['confusion', 'memory_loss', 'headache', 'seizures', 'personality_changes', 'ataxia']",Toxic encephalopathy,G92
Worldwide,"['idiopathic', 'vascular', 'post_infectious']",post_infectious,"['vomiting', 'confusion', 'lethargy', 'seizures', 'coma', 'cerebral_edema']",Other disorders of brain,G93
Worldwide,"['secondary_disease', 'metabolic', 'endocrine']",metabolic,"['confusion', 'asterixis', 'lethargy', 'personality_changes', 'coma', 'somnolence']",Other disorders of brain in diseases classified elsewhere,G94
Worldwide,"['idiopathic', 'congenital', 'vascular']",idiopathic,"['pain_and_temperature_loss', 'cape_like_sensory_loss', 'weakness', 'spasticity', 'scoliosis', 'headache']",Other diseases of spinal cord,G95
Worldwide,"['idiopathic', 'autoimmune', 'physical_trauma']",idiopathic,"['orthostatic_headache', 'nausea', 'tinnitus', 'photophobia', 'neck_pain', 'muffled_hearing']",Other disorders of central nervous system,G96
Worldwide,"['post_surgical', 'post_procedural', 'iatrogenic']",post_procedural,"['headache_after_lumbar_puncture', 'nerve_damage', 'postoperative_pain', 'infection', 'cranial_nerve_palsy', 'anesthesia_complication']","Postprocedural disorders of nervous system, not elsewhere classified",G97
Worldwide,"['idiopathic', 'unspecified', 'multifactorial']",idiopathic,"['unexplained_neurological_symptoms', 'chronic_pain', 'fatigue', 'dizziness', 'paresthesia', 'weakness']","Other disorders of nervous system, not elsewhere classified",G98
Worldwide,"['secondary_disease', 'endocrine', 'neoplastic']",endocrine,"['neuropathy', 'myopathy', 'cognitive_changes', 'autonomic_dysfunction', 'seizures', 'headache']",Other disorders of nervous system in diseases classified elsewhere,G99
Worldwide,"['bacterial spread', 'blocked gland', 'poor hygiene']",bacterial,"['painful eyelid lump', 'redness', 'swelling', 'tenderness', 'eyelid irritation', 'tearing']",Hordeolum and Chalazion,H00
Worldwide,"['bacterial overgrowth', 'clogged oil glands', 'allergic reaction']",inflammatory,"['red, swollen eyelids', 'crusty eyelashes', 'gritty sensation', 'itching', 'light sensitivity', 'blurry vision']",Blepharitis,H01
Worldwide,"['aging', 'congenital', 'nerve damage']",structural,"['drooping upper eyelid', 'inward-turned eyelid', 'outward-turned eyelid', 'difficulty closing eye', 'impaired vision', 'eye irritation']","Disorders of eyelid (Ptosis, Entropion, Ectropion)",H02
Worldwide,"['secondary to systemic disease', 'infection', 'autoimmune']",secondary,"['eyelid inflammation', 'lesions', 'ptosis', 'rash on eyelid', 'symptom of primary disease', 'eyelid swelling']",Eyelid disorder secondary to other disease,H03
Worldwide,"['blockage', 'inflammation', 'infection']",inflammatory,"['excessive tearing (epiphora)', 'dry eyes', 'pain in inner corner', 'swelling near nose', 'recurrent eye infections', 'mucus discharge']","Disorders of lacrimal system (Dacryoadenitis, Dry Eye)",H04
Worldwide,"['bacterial infection', 'fungal infection', 'trauma']",inflammatory,"['eye pain', 'protruding eyeball (proptosis)', 'swollen eyelid', 'redness', 'fever', 'impaired eye movement']","Disorders of orbit (Cellulitis, Graves')",H05
Worldwide,"['secondary to systemic disease', 'autoimmune', 'inflammatory']",secondary,"['dry eyes', 'proptosis', 'swelling', 'pain', 'symptom of primary disease', 'vision changes']",Lacrimal/Orbit disorder secondary to other disease,H06
Worldwide,"['viral', 'bacterial', 'allergic reaction']",viral,"['eye redness', 'gritty sensation', 'itching', 'discharge (watery or thick)', 'crusting of eyelids', 'light sensitivity']",Conjunctivitis (Pink Eye),H10
Worldwide (higher in sunny climates),"['UV exposure', 'chronic irritation', 'wind/dust exposure']",non-infectious,"['fleshy growth on eye', 'redness', 'irritation', 'foreign body sensation', 'blurry vision (if advanced)', 'dryness']","Other conjunctival disorders (Pterygium, Pinguecula)",H11
Worldwide,"['secondary to systemic disease', 'autoimmune', 'allergic']",secondary,"['chronic redness', 'lesions on conjunctiva', 'dryness', 'irritation', 'symptom of primary disease', 'discharge']",Conjunctival disorder secondary to other disease,H13
Worldwide,"['autoimmune', 'idiopathic', 'infection-related']",autoimmune,"['severe, boring eye pain', 'deep red/purple eye', 'light sensitivity', 'blurred vision', 'headache', 'pain on eye movement']",Scleritis/Episcleritis,H15
Worldwide,"['bacterial', 'viral (herpes)', 'fungal']",viral,"['severe eye pain', 'redness', 'blurred vision', 'light sensitivity (photophobia)', 'foreign body sensation', 'excessive tearing']",Keratitis,H16
Worldwide,"['trauma', 'previous infection', 'previous surgery']",traumatic,"['blurry vision', 'hazy/cloudy cornea', 'vision loss', 'glare', 'halos around lights', 'light sensitivity']",Corneal scarring,H17
Worldwide,"['genetic', 'degenerative', 'metabolic']",genetic,"['progressive vision loss', 'blurry vision', 'corneal thinning', 'irregular astigmatism', 'light sensitivity', 'eye pain']","Other corneal disorders (e.g., Dystrophies, Keratoconus)",H18
Worldwide,"['secondary to systemic disease', 'autoimmune', 'metabolic']",secondary,"['corneal deposits', 'scleral thinning', 'vision changes', 'eye pain', 'symptom of primary disease', 'redness']",Scleral/Corneal disorder secondary to other disease,H19
Worldwide,"['autoimmune', 'idiopathic', 'infection-related']",autoimmune,"['eye pain', 'redness (ciliary flush)', 'light sensitivity', 'blurred vision', 'small/irregular pupil', 'floaters']",Iridocyclitis (Anterior Uveitis),H20
Worldwide,"['trauma', 'congenital', 'degenerative']",structural,"['irregular pupil shape', 'vision loss', 'eye pain', 'cysts on iris', 'floaters', 'light sensitivity']",Other iris/ciliary disorders,H21
Worldwide,"['secondary to systemic disease', 'autoimmune', 'infectious']",secondary,"['uveitis symptoms', 'iris nodules', 'pupil abnormalities', 'symptom of primary disease', 'eye pain', 'vision changes']",Iris/Ciliary disorder secondary to other disease,H22
Worldwide,"['aging', 'oxidative stress', 'UV exposure']",degenerative,"['cloudy/blurry vision', 'faded colors', 'glare/halos at night', 'poor night vision', 'frequent prescription changes', 'double vision in one eye']",Age-related cataract,H25
Worldwide,"['trauma', 'congenital', 'steroid use']",traumatic,"['cloudy/blurry vision', 'glare', 'light sensitivity', 'vision loss', 'milky white pupil', 'faded colors']","Other cataracts (Traumatic, Congenital)",H26
Worldwide,"['surgical removal', 'trauma', 'congenital']",structural,"['absence of lens', 'severe blurry vision', 'difficulty focusing', 'vision loss', 'trembling iris', 'monocular vision']","Other lens disorders (Aphakia, Dislocation)",H27
Worldwide,"['secondary to systemic disease', 'metabolic (diabetes)', 'genetic syndrome']",secondary,"['early-onset cataract', 'vision changes', 'cloudy lens', 'symptom of primary disease', 'blurry vision', 'glare']",Lens disorder secondary to other disease,H28
Worldwide,"['parasitic', 'viral', 'autoimmune']",parasitic,"['floaters', 'blurred vision', 'vision loss', 'scotoma (blind spot)', 'eye pain', 'light sensitivity']",Chorioretinal inflammation (Posterior Uveitis),H30
Worldwide,"['idiopathic', 'degenerative', 'traumatic']",degenerative,"['vision distortion', 'vision loss', 'floaters', 'flashes of light', 'blind spots', 'night blindness']",Other choroidal disorders,H31
Worldwide,"['secondary to systemic disease', 'infectious', 'autoimmune']",secondary,"['retinal lesions', 'vision changes', 'floaters', 'symptom of primary disease', 'inflammation', 'vision loss']",Chorioretinal disorder secondary to other disease,H32
Worldwide,"['trauma', 'aging (PVD)', 'high myopia']",structural,"['sudden floaters', 'flashes of light (photopsia)', 'curtain/shadow in vision', 'sudden blurred vision', 'peripheral vision loss', 'central vision loss']",Retinal detachment,H33
Worldwide,"['thrombosis', 'embolism', 'hypertension']",vascular,"['sudden, painless vision loss', 'partial vision loss', 'blurred vision', 'scotoma', 'vision distortion', 'no pain']","Retinal vascular occlusion (BRVO, CRVO)",H34
Worldwide,"['aging', 'genetic', 'smoking']",degenerative,"['blurred central vision', 'straight lines appear wavy', 'difficulty reading', 'dark spot in central vision', 'color perception changes', 'slow vision loss']","Other retinal disorders (Macular Degeneration, Retinitis Pigmentosa)",H35
Worldwide,"['diabetes', 'hypertension', 'metabolic']",secondary,"['blurry vision', 'floaters', 'dark spots in vision', 'fluctuating vision', 'vision loss', 'poor night vision']",Diabetic retinopathy,H36
Worldwide,"['high intraocular pressure', 'genetic', 'aging']",degenerative,"['peripheral vision loss (tunnel vision)', 'no early symptoms', 'sudden eye pain (acute)', 'halos around lights', 'headache', 'nausea (acute)']",Glaucoma,H40
Worldwide,"['secondary to systemic disease', 'steroid use', 'inflammation']",secondary,"['peripheral vision loss', 'elevated eye pressure', 'symptom of primary disease', 'eye pain', 'redness', 'blurry vision']",Secondary glaucoma,H42
Worldwide,"['aging', 'PVD', 'inflammation']",degenerative,"['floaters (specks, cobwebs)', 'flashes of light', 'blurred vision', 'vitreous hemorrhage', 'vision loss', 'no pain']","Vitreous disorders (Floaters, Detachment)",H43
Worldwide,"['post-surgical infection', 'trauma', 'bacterial']",bacterial,"['severe eye pain', 'rapid vision loss', 'redness', 'swollen eyelid', 'pus in anterior chamber', 'light sensitivity']","Disorders of globe (Endophthalmitis, Atrophy)",H44
Worldwide,"['secondary to systemic disease', 'infection', 'autoimmune']",secondary,"['inflammation (uveitis)', 'hemorrhage', 'floaters', 'vision loss', 'symptom of primary disease', 'eye pain']",Vitreous/Globe disorder secondary to other disease,H45
Worldwide,"['autoimmune (MS)', 'idiopathic', 'viral']",autoimmune,"['vision loss in one eye', 'pain with eye movement', 'faded color vision', 'flashing lights', 'central scotoma', 'headache']",Optic neuritis,H46
Worldwide,"['vascular', 'compressive (tumor)', 'genetic']",vascular,"['painless vision loss', 'swollen optic disc (papilledema)', 'peripheral vision loss', 'headache', 'visual field defects', 'optic atrophy']",Other optic nerve disorders (Ischemic Optic Neuropathy),H47
Worldwide,"['secondary to systemic disease', 'nutritional deficiency', 'toxic']",secondary,"['progressive vision loss', 'visual field defects', 'optic atrophy', 'symptom of primary disease', 'color vision loss', 'central scotoma']",Optic nerve disorder secondary to other disease,H48
Worldwide,"['nerve palsy (CN III, IV, VI)', 'trauma', 'vascular (diabetes)']",neurological,"['double vision (diplopia)', 'eye misalignment', 'head tilt', 'dizziness', 'inability to move eye', 'eyelid droop (ptosis)']",Paralytic strabismus,H49
Worldwide,"['congenital', 'refractive error', 'muscle imbalance']",structural,"['crossed eyes', 'eyes point different directions', 'poor depth perception', 'double vision', 'head tilt', 'eye strain']","Non-paralytic strabismus (Esotropia, Exotropia)",H50
Worldwide,"['neurological', 'congenital', 'trauma']",neurological,"['nystagmus (involuntary eye movement)', 'dizziness', 'vertigo', 'blurred vision', 'difficulty focusing', 'gaze palsy']",Other binocular movement disorders (Nystagmus),H51
Worldwide,"['genetic predisposition', 'environmental factors', 'aging']",structural,"['blurry distance vision (myopia)', 'blurry near vision (hyperopia)', 'blurry vision at all distances (astigmatism)', 'eye strain', 'headaches', 'difficulty focusing (presbyopia)']","Refractive errors (Myopia, Hyperopia, Astigmatism)",H52
Worldwide,"['neurological', 'retinal', 'idiopathic']",symptomatic,"['visual field defects', 'color vision deficiencies', 'night blindness', 'diplopia', 'light sensitivity', 'visual distortion']","Visual disturbances (Amblyopia, Color blindness)",H53
Worldwide,"['cataract', 'glaucoma', 'macular degeneration']",symptomatic,"['severe vision loss', 'inability to see light', 'legal blindness', 'peripheral vision loss', 'central vision loss', 'poor visual acuity']",Blindness and low vision,H54
Worldwide,"['congenital', 'neurological', 'inner ear disorder']",neurological,"['involuntary rhythmic eye movements', 'blurred vision', 'dizziness', 'oscillopsia (world appears to shake)', 'poor depth perception', 'head tilt']",Nystagmus,H55
Worldwide,"['idiopathic', 'traumatic', 'vascular']",idiopathic,"['eye pain', 'redness', 'pupil abnormalities', 'foreign body sensation', 'headache', 'vision changes']",Other unspecified eye disorders,H57
Worldwide,"['secondary to systemic disease', 'autoimmune', 'infectious']",secondary,"['eye pain', 'vision changes', 'symptom of primary disease', 'redness', 'pupil changes', 'inflammation']",Eye disorder secondary to other disease,H58
Worldwide,"['post-surgical complication', 'iatrogenic', 'inflammation']",traumatic,"['post-operative pain', 'vision loss after surgery', 'inflammation', 'infection', 'high eye pressure', 'corneal edema']",Postprocedural eye disorder,H59
Worldwide,"['bacterial', 'fungal', 'water exposure']",bacterial,"['ear pain (otalgia)', 'itchy ear canal', 'redness/swelling of ear canal', 'ear discharge', 'muffled hearing', 'pain on touching earlobe']",Otitis externa (Swimmer's Ear),H60
Worldwide,"['trauma', 'impacted cerumen', 'congenital']",structural,"['earwax blockage', 'hearing loss', 'ear pain', 'ear canal mass', 'deformed pinna', 'dizziness']",Other external ear disorders (Impacted cerumen),H61
Worldwide,"['secondary to systemic disease', 'autoimmune', 'dermatological']",secondary,"['rash on ear', 'lesions in ear canal', 'inflammation', 'symptom of primary disease', 'ear pain', 'discharge']",External ear disorder secondary to other disease,H62
Worldwide,"['eustachian tube dysfunction', 'viral URI', 'allergic']",inflammatory,"['muffled hearing', 'feeling of fullness in ear', 'popping/cracking sounds', 'balance problems', 'hearing loss (conductive)', 'no pain or fever']",Otitis media with effusion (Glue Ear),H65
Worldwide,"['bacterial', 'viral', 'eustachian tube dysfunction']",bacterial,"['severe ear pain', 'fever', 'hearing loss', 'ear discharge (pus)', 'irritability (infants)', 'feeling of fullness']",Acute otitis media (Ear Infection),H66
